cnae,total_2013,total_2014,total_2015,com_cat_2013,com_cat_2014,com_cat_2015,tipico_2013,tipico_2014,tipico_2015,trajeto_2013,trajeto_2014,trajeto_2015,doenca_2013,doenca_2014,doenca_2015,sem_cat_2013,sem_cat_2014,sem_cat_2015
7120,5,9,5,5,9,5,4,3,3,1,6,2,0,0,0,0,0,0
7210,2,2,5,2,2,5,1,2,1,1,0,4,0,0,0,0,0,0
7220,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7311,0,3,2,0,2,2,0,1,2,0,1,0,0,0,0,0,1,0
7312,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
7319,3,6,11,2,6,11,2,2,8,0,4,3,0,0,0,1,0,0
7320,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7420,0,6,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0
7490,14,11,8,14,11,8,7,4,5,7,7,0,0,0,3,0,0,0
7500,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
7711,19,24,14,19,24,14,16,19,10,3,5,2,0,0,2,0,0,0
7719,5,3,4,5,3,4,5,1,3,0,2,1,0,0,0,0,0,0
7722,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0
7723,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0
7729,0,2,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0
7731,1,2,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0
7732,46,41,25,41,41,25,35,32,17,6,6,8,0,3,0,5,0,0
7733,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0
7739,17,19,18,15,19,18,6,12,12,9,7,5,0,0,1,2,0,0
7740,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7810,21,24,23,19,24,23,10,15,12,9,9,11,0,0,0,2,0,0
7820,67,61,34,65,61,34,43,39,20,22,21,14,0,1,0,2,0,0
7830,14,14,16,12,14,16,9,9,6,3,5,10,0,0,0,2,0,0
7911,0,1,2,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0
8011,139,122,145,135,122,145,38,37,36,97,85,108,0,0,1,4,0,0
8012,30,28,39,28,27,39,16,15,17,12,12,22,0,0,0,2,1,0
8020,30,30,45,29,30,45,14,19,33,15,11,12,0,0,0,1,0,0
8111,18,25,27,16,25,27,5,6,15,10,18,12,1,1,0,2,0,0
8112,157,151,128,141,151,128,111,121,96,29,26,29,1,4,3,16,0,0
8121,179,78,94,152,78,94,95,37,41,57,38,50,0,3,3,27,0,0
8122,6,10,4,4,10,4,2,4,2,2,5,2,0,1,0,2,0,0
8129,27,28,34,25,28,34,19,23,27,6,4,7,0,1,0,2,0,0
8130,3,2,1,3,2,1,2,2,0,1,0,1,0,0,0,0,0,0
8211,42,33,45,36,33,44,16,13,28,20,20,16,0,0,0,6,0,1
8219,9,6,8,8,6,8,5,2,3,3,2,5,0,2,0,1,0,0
8220,22,33,30,21,29,30,12,9,14,9,20,14,0,0,2,1,4,0
8230,3,20,3,3,20,3,3,17,2,0,3,1,0,0,0,0,0,0
